textPayload,insertId,resource.type,resource.labels.task_name,resource.labels.job_id,resource.labels.project_id,timestamp,severity,logName,receiveTimestamp,jsonPayload.pathname,jsonPayload.created,jsonPayload.lineno,jsonPayload.message,jsonPayload.levelname,"labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/job_id/log_area""","labels.""compute.googleapis.com/resource_name""","labels.""ml.googleapis.com/trial_id""","labels.""compute.googleapis.com/resource_id"""
,tz6dxify40jva,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T15:55:01.839584112Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T15:55:07.002457134Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559404501.839584,48,test RMSE = 1.02,INFO,us-east1-c,tensorflow,cmle-training-839322900676537513,499,5319322508726313427
,1ndlxw1fzfztv3,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T15:33:32.174335002Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T15:33:35.456500890Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559403212.174335,48,test RMSE = 1.01,INFO,us-east1-c,tensorflow,cmle-training-13865918600687280792,496,2003096869854455006
,16gm83bg11wpitz,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T15:06:08.263065099Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T15:06:14.060797337Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559401568.263065,48,test RMSE = 1.67,INFO,us-east1-c,tensorflow,cmle-training-4770793019257251884,492,4986211987779169576
,1e7004fzak8v0,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T14:59:12.861043930Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T14:59:16.380740561Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559401152.861044,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-13559097182872753082,491,4234236782744382669
,1n41x28fvs7pz6,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T14:52:03.791681051Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T14:52:07.529575514Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559400723.791681,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-2392594435799686350,490,8250309359471373971
,aa1af5fzg5db9,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T14:45:41.681221008Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T14:45:46.871687085Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559400341.681221,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-6183733621921079841,489,7890379370510888983
,1hu8lt8g119g7hd,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T14:31:47.290771961Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T14:31:52.598062982Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559399507.290772,48,test RMSE = 1.13,INFO,us-east1-c,tensorflow,cmle-training-5936236546090457891,487,1104762807303222623
,55yog121a1so,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T14:17:46.016688108Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T14:17:49.864961943Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559398666.016688,48,test RMSE = 1.12,INFO,us-east1-c,tensorflow,cmle-training-13830790517691063084,485,3489289999631726210
,1lpoxx6g11pqpr1,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T14:10:44.923634052Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T14:10:48.326837Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559398244.923634,48,test RMSE = 1.02,INFO,us-east1-c,tensorflow,cmle-training-210927797837697079,484,513508091688335395
,ldbjzvfv58uwq,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T13:38:08.060255050Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T13:38:14.200831731Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559396288.060255,48,test RMSE = 1.39,INFO,us-east1-c,tensorflow,cmle-training-14195445091135750983,480,8696388828952248780
